date,do i have covid,isPartial,State
2020-07-18,0,False,AR
2020-07-19,59,False,AR
2020-07-20,0,False,AR
2020-07-21,34,False,AR
2020-07-22,0,False,AR
2020-07-23,0,False,AR
2020-07-24,52,False,AR
2020-07-25,0,False,AR
2020-07-26,39,False,AR
2020-07-27,0,False,AR
2020-07-28,0,False,AR
2020-07-29,0,False,AR
2020-07-30,0,False,AR
2020-07-31,33,False,AR
2020-08-01,0,False,AR
2020-08-02,40,False,AR
2020-08-03,0,False,AR
2020-08-04,100,False,AR
2020-08-05,34,False,AR
2020-08-06,0,False,AR
2020-08-07,35,False,AR
2020-08-08,39,False,AR
2020-08-09,39,False,AR
2020-08-10,0,False,AR
2020-08-11,0,False,AR
2020-08-12,34,False,AR
2020-08-13,0,False,AR
2020-08-14,0,False,AR
2020-08-15,0,False,AR
2020-08-16,39,False,AR
2020-08-17,0,False,AR
2020-08-18,34,False,AR
2020-08-19,0,False,AR
2020-08-20,0,False,AR
2020-08-21,34,False,AR
2020-08-22,39,False,AR
2020-08-23,0,False,AR
2020-08-24,0,False,AR
2020-08-25,0,False,AR
2020-08-26,0,False,AR
2020-08-27,0,False,AR
2020-08-28,0,False,AR
2020-08-29,0,False,AR
2020-08-30,0,False,AR
2020-08-31,28,False,AR
2020-09-01,27,False,AR
2020-09-02,0,False,AR
2020-09-03,0,False,AR
2020-09-04,0,False,AR
2020-09-05,0,False,AR
2020-09-06,39,False,AR
2020-09-07,0,False,AR
2020-09-08,29,False,AR
2020-09-09,30,False,AR
2020-09-10,29,False,AR
2020-09-11,60,False,AR
2020-09-12,0,False,AR
2020-09-13,37,False,AR
2020-09-14,0,False,AR
2020-09-15,0,False,AR
2020-09-16,0,False,AR
2020-09-17,30,False,AR
2020-09-18,30,False,AR
2020-09-19,0,False,AR
2020-09-20,0,False,AR
2020-09-21,0,False,AR
2020-09-22,0,False,AR
2020-09-23,29,False,AR
2020-09-24,29,False,AR
2020-09-25,0,False,AR
2020-09-26,0,False,AR
2020-09-27,0,False,AR
2020-09-28,0,False,AR
2020-09-29,0,False,AR
2020-09-30,0,False,AR
2020-10-01,33,False,AR
2020-10-02,34,False,AR
2020-10-03,0,False,AR
2020-10-04,39,False,AR
2020-10-05,0,False,AR
2020-10-06,33,False,AR
2020-10-07,0,False,AR
2020-03-22,36,False,CA
2020-03-23,38,False,CA
2020-03-24,22,False,CA
2020-03-25,22,False,CA
2020-03-26,62,False,CA
