,date,date,State,State,covid symptoms,do i have covid
454,2020-05-15,2020-05-15,AR,AR,12,59
455,2020-05-16,2020-05-16,AR,AR,31,0
456,2020-05-17,2020-05-17,AR,AR,44,0
457,2020-05-18,2020-05-18,AR,AR,14,0
458,2020-05-19,2020-05-19,AR,AR,22,0
459,2020-05-20,2020-05-20,AR,AR,27,0
460,2020-05-21,2020-05-21,AR,AR,25,31
461,2020-05-22,2020-05-22,AR,AR,12,0
462,2020-05-23,2020-05-23,AR,AR,25,0
463,2020-05-24,2020-05-24,AR,AR,23,0
464,2020-05-25,2020-05-25,AR,AR,24,0
465,2020-05-26,2020-05-26,AR,AR,29,0
466,2020-05-27,2020-05-27,AR,AR,26,30
467,2020-05-28,2020-05-28,AR,AR,34,0
468,2020-05-29,2020-05-29,AR,AR,58,0
469,2020-05-30,2020-05-30,AR,AR,38,0
470,2020-05-31,2020-05-31,AR,AR,30,0
471,2020-06-01,2020-06-01,AR,AR,28,0
472,2020-06-02,2020-06-02,AR,AR,35,32
473,2020-06-03,2020-06-03,AR,AR,28,0
474,2020-06-04,2020-06-04,AR,AR,40,0
475,2020-06-05,2020-06-05,AR,AR,27,0
476,2020-06-06,2020-06-06,AR,AR,34,0
477,2020-06-07,2020-06-07,AR,AR,20,0
478,2020-06-08,2020-06-08,AR,AR,41,0
479,2020-06-09,2020-06-09,AR,AR,42,0
480,2020-06-10,2020-06-10,AR,AR,32,0
481,2020-06-11,2020-06-11,AR,AR,30,32
482,2020-06-12,2020-06-12,AR,AR,39,0
483,2020-06-13,2020-06-13,AR,AR,23,0
484,2020-06-14,2020-06-14,AR,AR,43,0
485,2020-06-15,2020-06-15,AR,AR,51,0
486,2020-06-16,2020-06-16,AR,AR,30,0
487,2020-06-17,2020-06-17,AR,AR,43,0
488,2020-06-18,2020-06-18,AR,AR,56,0
489,2020-06-19,2020-06-19,AR,AR,42,33
490,2020-06-20,2020-06-20,AR,AR,44,0
491,2020-06-21,2020-06-21,AR,AR,18,0
492,2020-06-22,2020-06-22,AR,AR,38,0
493,2020-06-23,2020-06-23,AR,AR,51,0
494,2020-06-24,2020-06-24,AR,AR,62,33
495,2020-06-25,2020-06-25,AR,AR,70,33
496,2020-06-26,2020-06-26,AR,AR,55,0
497,2020-06-27,2020-06-27,AR,AR,63,37
498,2020-06-28,2020-06-28,AR,AR,73,37
499,2020-06-29,2020-06-29,AR,AR,84,32
500,2020-06-30,2020-06-30,AR,AR,71,0
501,2020-07-01,2020-07-01,AR,AR,74,0
502,2020-07-02,2020-07-02,AR,AR,71,67
503,2020-07-03,2020-07-03,AR,AR,61,0
504,2020-07-04,2020-07-04,AR,AR,53,0
505,2020-07-05,2020-07-05,AR,AR,55,0
506,2020-07-06,2020-07-06,AR,AR,70,0
507,2020-07-07,2020-07-07,AR,AR,68,33
508,2020-07-08,2020-07-08,AR,AR,85,0
509,2020-07-09,2020-07-09,AR,AR,68,0
510,2020-07-10,2020-07-10,AR,AR,57,0
511,2020-07-11,2020-07-11,AR,AR,58,77
512,2020-07-12,2020-07-12,AR,AR,79,0
513,2020-07-13,2020-07-13,AR,AR,79,0
514,2020-07-14,2020-07-14,AR,AR,92,33
515,2020-07-15,2020-07-15,AR,AR,83,34
516,2020-07-16,2020-07-16,AR,AR,64,0
517,2020-07-17,2020-07-17,AR,AR,58,34
